# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
352.8858467; -93.0227995; -47.4910751; -2.1960596; 0.0514067; 13.0517284; 0.2818510
354.8795520; -91.3652345; -48.5657255; -2.0959148; 0.0515459; 13.0947115; 0.7935857
356.8732574; -89.5678214; -49.4813438; -1.9872107; 0.0528860; 13.2149847; 1.5388643
358.8669627; -87.7004039; -50.1958823; -1.8869325; 0.0479063; 13.4451443; 2.8430956
360.8606681; -85.7729183; -50.7343865; -1.8053663; 0.0319612; 13.8603209; 3.2355785
362.8543734; -83.8171399; -51.1471733; -1.7569710; 0.0188635; 14.3181729; 3.5286009
364.8480788; -81.8495981; -51.4821306; -1.7231992; 0.0148698; 14.8013532; 3.7768152
366.8417841; -79.8750014; -51.7564393; -1.6936041; 0.0166983; 15.3016264; 3.9398287
368.8354895; -77.9023948; -51.9640886; -1.6566041; 0.0197681; 15.8066279; 3.9755251
370.8291948; -75.9131875; -52.0961934; -1.6178436; 0.0190817; 16.3003539; 1.5129589
372.8229002; -73.9240985; -52.1514352; -1.5784331; 0.0212231; 16.4843661; -0.8717568
374.8166055; -71.9333889; -52.1228206; -1.5334498; 0.0243846; 16.3785919; -4.5456147
376.8103109; -69.9429981; -51.9968847; -1.4803170; 0.0287430; 15.8155948; -3.6466017
378.8040162; -67.9783626; -51.7615171; -1.4232600; 0.0278449; 15.3490241; -3.2521021
380.7977216; -66.0063572; -51.4139450; -1.3698676; 0.0275258; 14.9206258; -2.8735644
382.7914269; -64.0645294; -50.9571391; -1.3068524; 0.0359166; 14.5315860; -2.7855754
384.7851323; -62.1397523; -50.3558047; -1.2272657; 0.0421411; 14.1442483; -2.7107772
386.7788376; -60.3045671; -49.6052660; -1.1342570; 0.0525525; 13.7568448; -2.7545442
388.7725430; -58.5232491; -48.6553895; -1.0272534; 0.0534803; 13.3516770; -2.7428622
390.7662483; -56.8618853; -47.5252232; -0.9204124; 0.0514935; 12.9356237; -2.7863125
392.7599537; -55.3518521; -46.2513562; -0.8189144; 0.0550567; 12.4988075; -2.7752515
394.7536590; -54.0007887; -44.8320851; -0.6998213; 0.0660246; 12.0479924; -1.2144418
396.7473644; -52.8283492; -43.2273358; -0.5653773; 0.0588986; 11.8453216; 0.6255920
398.7410697; -51.8757550; -41.5064836; -0.4442492; 0.0635748; 11.9501521; 0.4560794
400.7347751; -51.1353139; -39.6625880; -0.3212415; 0.0597250; 12.0260014; 0.7083932
